+----+-----+-----------+----+
|year|month|crime_total|rank|
+----+-----+-----------+----+
|2010|3    |12828      |1   |
|2010|7    |12085      |2   |
|2010|4    |12070      |3   |
|2011|8    |20643      |1   |
|2011|5    |20643      |2   |
|2011|10   |20533      |3   |
|2012|10   |30963      |1   |
|2012|8    |30646      |2   |
|2012|5    |29842      |3   |
|2013|1    |11429      |1   |
|2013|3    |8229       |2   |
|2013|8    |8056       |3   |
|2014|1    |6297       |1   |
|2014|6    |5712       |2   |
|2014|5    |5694       |3   |
|2015|7    |10106      |1   |
|2015|5    |10102      |2   |
|2015|3    |10065      |3   |
|2016|10   |16405      |1   |
|2016|12   |15796      |2   |
|2016|8    |15761      |3   |
|2017|3    |27409      |1   |
|2017|8    |27216      |2   |
|2017|7    |26858      |3   |
|2018|1    |8357       |1   |
|2018|2    |6167       |2   |
|2018|8    |6135       |3   |
|2019|7    |19127      |1   |
|2019|8    |18874      |2   |
|2019|5    |18538      |3   |
|2020|1    |7130       |1   |
|2020|2    |5818       |2   |
|2020|7    |5210       |3   |
|2021|7    |28426      |1   |
|2021|10   |27955      |2   |
|2021|8    |27690      |3   |
|2022|8    |32162      |1   |
|2022|7    |31372      |2   |
|2022|10   |30936      |3   |
|2023|8    |26308      |1   |
|2023|10   |26249      |2   |
|2023|7    |25974      |3   |
|2024|1    |1          |1   |
+----+-----+-----------+----+
